,Station Names,Station Codes,Latitude,Longitude,Pincode
141,ALLAHABAD JN,ALD,25.4453° N,81.8250° E,211001
142,ALLEPPEY,ALLP,9.4981° N,76.3388° E,0
143,ALLURU ROAD,AXR,14.7101° N,79.9893° E,524152
144,ALMATTI,LMT,16.3515° N,75.8795° E,586201
145,ALMAW,ALMW,,,221303
146,ALNAVAR JN,LWR,,,581103
147,ALNIYA,ALNI,23.2495° N,75.0407° E,325003
148,ALTAGRAM,ATM,26.6105° N,88.9436° E,735210
149,ALUABARI ROAD,AUB,,,733202
150,ALUVA,AWY,10.1004° N,76.3570° E,683101
151,ALWAL,ALW,17.4967° N,78.5066° E,500010
152,ALWAR,AWR,27.5530° N,76.6346° E,301001
153,ALWAR TIRUNAGRI,AWT,8.6052° N,77.9439° E,628612
154,AMAGURA,AGZ,19.0687° N,82.1474° E,494001
155,AMALNER,AN,21.0419° N,75.0582° E,425401
156,AMALPUR,AMLP,25.3180° N,86.4934° E,811214
157,AMALSAD,AML,20.8176° N,72.9549° E,396310
158,AMAN VADI,AMW,,,585225
159,AMARAVATHI CLNY,AVC,14.4988° N,75.8520° E,0
160,AMARAVILA,AMVA,8.3885° N,77.1054° E,695124
161,AMARDA ROAD,ARD,21.7288° N,87.1011° E,756030
162,AMARGARH,AGR,31.1279° N,76.0718° E,276001
163,AMARGOL,AGL,15.3995° N,75.0830° E,580009
164,AMARPUR JORASI,APJ,28.0169° N,76.0609° E,123023
165,AMARPURA,APA,28.5614° N,75.2204° E,306102
166,AMARPURA RATHAN,AMPR,29.4119° N,74.0083° E,335803
167,AMARSAR,AXA,27.3688° N,75.8331° E,363621
168,AMARUN,ARNB,23.3658° N,87.9359° E,713125
169,AMAUSI,AMS,26.7674° N,80.8841° E,226009
170,AMB  ANDAURA,AADR,31.6705° N,76.1104° E,177203
171,AMBAGAON,AGB,19.1132° N,73.7327° E,764058
172,AMBALA CANT JN,UMB,30.3378° N,76.8279° E,134003
173,AMBALA CITY,UBC,30.3752° N,76.7821° E,134001
174,AMBALAPPUZHA,AMPA,9.3787° N,76.3628° E,688561
