Train Number,Train Name,Arrival Delays,Departure Delays
34147,BGB SDAH LOCAL,$ $4 min$5 min$4 min$6 min$5 min$4 min$2 min,$0$4 min$5 min$4 min$6 min$4 min$4 min$ 
34149,BGB SDAH LOCAL,$ $4 min$4 min$4 min$5 min$6 min$6 min$3 min,$0$4 min$4 min$4 min$5 min$6 min$6 min$ 
34151,BGB SDAH LOCAL,$ $5 min$7 min$10 min$11 min$9 min$8 min$6 min,$1 min$5 min$7 min$10 min$11 min$9 min$8 min$ 
34153,BGB SDAH LOCAL,$ $6 min$7 min$8 min$7 min$9 min$2 min$3 min,$2 min$6 min$7 min$8 min$7 min$8 min$4 min$ 
34155,BGB SDAH LOCAL,$ $8 min$9 min$7 min$12 min$12 min$9 min$8 min,$2 min$8 min$9 min$7 min$12 min$12 min$9 min$ 
34157,BGB SDAH LOCAL,$ $8 min$8 min$8 min$7 min$10 min$6 min$4 min,$3 min$8 min$8 min$8 min$7 min$10 min$6 min$ 
34159,BGB SDAH LOCAL,$ $4 min$5 min$5 min$5 min$7 min$2 min$0,$0$4 min$5 min$5 min$5 min$7 min$3 min$ 
34161,BGB SDAH LOCAL,$ $3 min$4 min$4 min$4 min$4 min$2 min$0,$0$3 min$4 min$4 min$4 min$4 min$2 min$ 
34163,BGB SDAH LOCAL,,
14803,BGKT ADI EXPRESS,$ $13 min$22 min$27 min$36 min$33 min$34 min$30 min$32 min$31 min$0$3 min$10 min$15 min$17 min$22 min$0,$4 min$14 min$28 min$27 min$36 min$33 min$34 min$30 min$32 min$31 min$3 min$3 min$11 min$15 min$21 min$25 min$ 
16863,BGKT MQ EXPRESS,,
16533,JU SBC EXPRESS,$ $1:30 hrs$1:30 hrs$1:19 hrs$1:06 hrs$1:03 hrs$30 min$6 min$0$0$0$30 min$0$0$0$31 min$21 min$0$47 min$25 min$30 min$50 min$5 min$26 min$28 min$8 min$32 min$8 min$0,$1:29 hrs$1:32 hrs$1:30 hrs$1:20 hrs$56 min$1 hrs$34 min$10 min$0$0$1 min$28 min$1 min$2 min$5 min$31 min$22 min$3 min$47 min$30 min$28 min$49 min$5 min$30 min$35 min$10 min$32 min$5 min$ 
16507,JU SBC EXP,$ $3 min$1 min$0$0$2 min$5 min$20 min$0$12 min$18 min$0$11 min$6 min$12 min$0$7 min$10 min$38 min$0$10 min$0$56 min$58 min$35 min$0$36 min$38 min$1:08 hrs$58 min$30 min$1:31 hrs$1:38 hrs$1:48 hrs$1:54 hrs$1:50 hrs$1:25 hrs$1:28 hrs$45 min$28 min,$2 min$5 min$4 min$0$2 min$2 min$5 min$30 min$0$12 min$18 min$2 min$11 min$6 min$12 min$0$7 min$15 min$37 min$1 min$15 min$10 min$57 min$57 min$35 min$5 min$50 min$59 min$1:07 hrs$57 min$37 min$1:39 hrs$1:48 hrs$1:49 hrs$1:58 hrs$1:50 hrs$1:32 hrs$1:29 hrs$42 min$ 
18574,BGKT VSKP EXP,$ $3 min$9 min$24 min$0$4 min$19 min$10 min$0$0$0$0$11 min$0$22 min$52 min$3 min$0$0$5 min$0$3 min$0$0$0$0$9 min$7 min$26 min$30 min$30 min$15 min,$7 min$12 min$9 min$23 min$14 min$13 min$19 min$10 min$4 min$9 min$2 min$1 min$12 min$1 min$26 min$54 min$8 min$0$0$5 min$0$3 min$0$1 min$0$5 min$9 min$7 min$30 min$30 min$30 min$ 
11089,BGKTPUNE EXPRESS,$ $0$0$14 min$14 min$0$43 min$38 min$0$0$0$4 min$0$2 min$0$7 min$3 min$0$1 min$0$0$0$0,$2 min$1 min$2 min$14 min$20 min$0$43 min$42 min$1 min$0$0$4 min$0$2 min$5 min$7 min$3 min$2 min$1 min$1 min$0$0$ 
51462,BGM MRJ PASS,$ $7 min$8 min$8 min$11 min$17 min$23 min$48 min$50 min$49 min$50 min$54 min$1:04 hrs$50 min,$0$7 min$8 min$9 min$15 min$19 min$42 min$50 min$51 min$49 min$57 min$56 min$1:11 hrs$ 
51464,BGM MRJ PASS,$ $1:27 hrs$1:54 hrs$2:01 hrs$2 hrs$2:17 hrs$2:27 hrs$2:37 hrs$2:38 hrs$2:38 hrs$2:40 hrs$2:41 hrs$2:17 hrs$2:04 hrs,$1:22 hrs$1:52 hrs$1:56 hrs$2:11 hrs$2:11 hrs$2:19 hrs$2:38 hrs$2:37 hrs$2:39 hrs$2:39 hrs$2:40 hrs$2:41 hrs$2:21 hrs$ 
35012,BGNA BWN EMU,$ $4 min$7 min$7 min$6 min$11 min$1 min,$5 min$4 min$7 min$7 min$6 min$11 min$ 
35014,BGNA BWN EMU,$ $0$5 min$11 min$12 min$14 min$2 min,$0$0$13 min$11 min$12 min$14 min$ 
35016,BGNA BWN EMU,$ $0$2 min$3 min$1 min$1 min$0,$0$0$2 min$3 min$1 min$5 min$ 
35018,SPS BWN EMU,$ $0$3 min$4 min$6 min$11 min$0,$2 min$0$3 min$4 min$6 min$12 min$ 
35020,BGNA BWN EMU,$ $3 min$6 min$6 min$8 min$6 min$0,$3 min$3 min$6 min$6 min$8 min$7 min$ 
13423,BGP AII EXPRESS,$ $3 min$0$12 min$0$0$40 min$1:05 hrs$1:31 hrs$1:52 hrs$2:02 hrs$1:36 hrs$1:31 hrs$34 min$7 min$26 min$18 min$12 min$5 min,$2 min$4 min$5 min$12 min$6 min$0$47 min$1:11 hrs$1:33 hrs$1:55 hrs$2:08 hrs$1:36 hrs$1:41 hrs$56 min$4 min$27 min$18 min$12 min$ 
53030,BGP AZ PASS,$ $3 min$3 min$4 min$6 min$11 min$15 min$17 min$27 min$28 min$41 min$1:43 hrs$25 min$1:36 hrs$1:33 hrs$1:29 hrs$1:27 hrs$1:24 hrs$1:22 hrs$52 min$27 min$1 min$0$17 min$6 min$3 min$19 min$35 min$25 min$12 min$0,$0$3 min$3 min$7 min$9 min$15 min$17 min$27 min$28 min$40 min$43 min$22 min$25 min$1:36 hrs$1:33 hrs$1:30 hrs$1:28 hrs$1:22 hrs$1:22 hrs$57 min$1:04 hrs$1 min$9 min$19 min$6 min$4 min$20 min$35 min$25 min$13 min$ 
53022,SBG AZ PASS,$ $1:21 hrs$1:21 hrs$1:22 hrs$1:22 hrs$1:37 hrs$1:33 hrs$1:28 hrs$1:11 hrs$1:33 hrs$1:37 hrs$1:49 hrs$1:54 hrs$2:42 hrs$2:51 hrs$2:52 hrs$2:52 hrs$2:56 hrs$3:53 hrs$2:27 hrs,$1:17 hrs$1:21 hrs$1:21 hrs$1:22 hrs$1:35 hrs$1:37 hrs$1:34 hrs$1:31 hrs$2:16 hrs$1:36 hrs$1:41 hrs$1:55 hrs$2:25 hrs$3:03 hrs$2:51 hrs$2:52 hrs$2:56 hrs$2:56 hrs$3:55 hrs$ 
53450,BGP BAKA PASS,,
53448,BGP BAKA PASS,,
22405,BGP  GARIB RATH,$ $2:22 hrs$2:44 hrs$2:39 hrs$2:09 hrs$1:35 hrs$1:35 hrs$2:04 hrs$1:41 hrs$56 min$1:21 hrs$1:25 hrs$1:24 hrs$1:34 hrs$1:30 hrs$2:05 hrs$2:47 hrs$3:18 hrs$4:15 hrs$4:53 hrs$4:33 hrs,$1:52 hrs$2:31 hrs$2:41 hrs$2:42 hrs$1:57 hrs$1:38 hrs$1:37 hrs$2:04 hrs$1:40 hrs$56 min$1:20 hrs$1:25 hrs$1:24 hrs$1:34 hrs$1:32 hrs$2:16 hrs$2:48 hrs$3:23 hrs$4:23 hrs$4:55 hrs$ 
53442,BGP HSDA PASS,,
53446,BGP HSDA PASS,,
53497,BGP JMP PASS,$ $1:03 hrs$1:07 hrs$1:12 hrs$1:19 hrs$1:12 hrs$1:20 hrs$1:17 hrs,$1:11 hrs$1:04 hrs$1:18 hrs$1:26 hrs$1:19 hrs$1:15 hrs$1:17 hrs$ 
73429,BGP JMP PASS,$ $1:05 hrs$1:30 hrs$1:39 hrs$1:46 hrs$1:46 hrs$2:26 hrs$2 hrs,$1 hrs$1:25 hrs$1:36 hrs$1:44 hrs$1:46 hrs$1:56 hrs$1:58 hrs$ 
12335,BGP LTT EXPRESS,$ $6 min$6 min$5 min$19 min$21 min$42 min$0$27 min$30 min$35 min$36 min$46 min$52 min$40 min$48 min$1:04 hrs$1 hrs$1:02 hrs$1:02 hrs$1:04 hrs$23 min$49 min$1:26 hrs$2:49 hrs$3 hrs$3:07 hrs$2:25 hrs$1:43 hrs$1:53 hrs$1:29 hrs$1:26 hrs$1:19 hrs$3:18 hrs$1:52 hrs$1:32 hrs$1:48 hrs$10 min,$2 min$8 min$6 min$9 min$21 min$22 min$40 min$38 min$27 min$31 min$36 min$36 min$50 min$51 min$41 min$48 min$1:02 hrs$57 min$1:02 hrs$1 hrs$1:03 hrs$22 min$52 min$1:33 hrs$2:56 hrs$3:03 hrs$3:07 hrs$2:28 hrs$1:45 hrs$1:55 hrs$1:32 hrs$1:26 hrs$1:29 hrs$3:29 hrs$2:06 hrs$1:41 hrs$1:48 hrs$ 
53444,BGP HSDA PASS,,
12349,BGP NDLS EXP,$ $6 min$8 min$13 min$0$0$6 min$4 min$0$46 min$1:32 hrs$4:56 hrs,$0$6 min$12 min$13 min$0$0$6 min$4 min$1 min$49 min$1:43 hrs$ 
18604,BGP RNC EXPRESS,$ $11 min$8 min$11 min$10 min$17 min$14 min$3 min$17 min$0$19 min$17 min$13 min$12 min$0$0$5 min$2 min$0$0$0,$0$11 min$8 min$8 min$10 min$18 min$14 min$12 min$17 min$1 min$19 min$14 min$13 min$16 min$0$0$4 min$2 min$0$0$ 
12891,BGY  BBS EXPRESS,$ $11 min$9 min$2 min$1 min$1:05 hrs$12 min$21 min$14 min$20 min,$1 min$12 min$20 min$2 min$0$1:06 hrs$18 min$20 min$13 min$ 
78014,BGY BPO DEMU,$ $0,$0$ 
78018,BGY BPO DEMU,,
69195,BH DHF MEMU,,
12336,BHAGALPUR EXP,$ $14 min$4 min$3 min$8 min$4 min$19 min$0$5 min$1 min$13 min$51 min$1:25 hrs$1:39 hrs$2:03 hrs$2:03 hrs$2:05 hrs$1:56 hrs$2:02 hrs$2:08 hrs$2:08 hrs$3:09 hrs$3 hrs$3:02 hrs$3:03 hrs$3:02 hrs$4:27 hrs$4:18 hrs$4:10 hrs$3:52 hrs$3:38 hrs$3:36 hrs$3:36 hrs$3:24 hrs$3:49 hrs$3:43 hrs,$0$14 min$7 min$5 min$7 min$18 min$20 min$1 min$7 min$3 min$14 min$56 min$1:38 hrs$1:40 hrs$2:08 hrs$2:01 hrs$2:01 hrs$1:56 hrs$2:04 hrs$2:07 hrs$2:17 hrs$3:14 hrs$2:59 hrs$3:02 hrs$3:02 hrs$4:11 hrs$4:27 hrs$4:15 hrs$4:09 hrs$3:53 hrs$3:33 hrs$3:36 hrs$3:36 hrs$3:36 hrs$3:49 hrs$ 
13104,BHAGIRATHI EXP,$ $8 min$8 min$9 min$9 min$5 min$5 min$3 min$4 min$5 min$7 min$0$6 min$0,$6 min$8 min$8 min$9 min$9 min$6 min$5 min$3 min$4 min$6 min$8 min$7 min$5 min$ 
13103,BHAGIRATHI EXP,$ $1 min$4 min$10 min$11 min$15 min$7:43 hrs$9 min$4 min$3 min$3 min$4 min$4 min$0,$0$3 min$3 min$10 min$12 min$6 min$6 min$9 min$3 min$4 min$3 min$3 min$4 min$ 
17234,BHAGYANAGAR EXP,$ $0$11 min$14 min$30 min$24 min$9 min$24 min$28 min$31 min$37 min$38 min$50 min$42 min$48 min$51 min$48 min$53 min$1:06 hrs$1:11 hrs$1:10 hrs$1:20 hrs$1:07 hrs$1:16 hrs$1:14 hrs$1:20 hrs$1:22 hrs$1:28 hrs$1:33 hrs$1:30 hrs,$1 min$4 min$14 min$23 min$33 min$25 min$14 min$30 min$31 min$31 min$38 min$43 min$51 min$44 min$53 min$53 min$48 min$57 min$1:06 hrs$1:11 hrs$1:16 hrs$1:25 hrs$1:17 hrs$1:16 hrs$1:14 hrs$1:20 hrs$1:23 hrs$1:28 hrs$1:33 hrs$ 
17233,BHAGYANAGAR EXP,$ $17 min$20 min$26 min$22 min$23 min$28 min$31 min$18 min$35 min$36 min$40 min$47 min$41 min$38 min$1:01 hrs$51 min$52 min$1 hrs$59 min$1 hrs$1 hrs$1:04 hrs$1:06 hrs$1:18 hrs$1:23 hrs$1:15 hrs$1:33 hrs$1 hrs$20 min$0,$3 min$16 min$21 min$27 min$22 min$23 min$28 min$31 min$23 min$35 min$40 min$47 min$47 min$44 min$47 min$55 min$51 min$53 min$55 min$1:01 hrs$1:02 hrs$1:02 hrs$1:06 hrs$1:26 hrs$1:19 hrs$1:26 hrs$1:15 hrs$1:34 hrs$1:05 hrs$22 min$ 
12971,BHAVNAGAR EXP,$ $1 min$5 min$1 min$1 min$8 min$1 min$5 min$16 min$15 min$3 min$1 min$22 min$26 min$28 min$34 min$35 min$34 min$33 min$19 min,$0$1 min$9 min$4 min$3 min$8 min$2 min$7 min$17 min$15 min$8 min$3 min$22 min$26 min$31 min$34 min$36 min$35 min$39 min$ 
59208,BHAVNAGAR PASS,$ $54 min$1:01 hrs$58 min$1:06 hrs$54 min$57 min$59 min$57 min$1:01 hrs$56 min$1:03 hrs$1:02 hrs$1:09 hrs$1:10 hrs$1:16 hrs$1:19 hrs$1:16 hrs$1:11 hrs$1:05 hrs$1:07 hrs$1:12 hrs$1:10 hrs$1:22 hrs$1:26 hrs$1:31 hrs$1:23 hrs$1:43 hrs$1:48 hrs$1:50 hrs$1:47 hrs$1:37 hrs$55 min$1:01 hrs$1:03 hrs$1:03 hrs$1:03 hrs$1:07 hrs$1:15 hrs$1:18 hrs$1:19 hrs$1:22 hrs$1:24 hrs$1:26 hrs$1:08 hrs$1:09 hrs$1:11 hrs$1:12 hrs$1:12 hrs$47 min$47 min,$44 min$1:01 hrs$1:01 hrs$1 hrs$1:06 hrs$1:04 hrs$57 min$1 hrs$1:03 hrs$1:02 hrs$57 min$1:04 hrs$1:07 hrs$1:15 hrs$1:14 hrs$1:19 hrs$1:20 hrs$1:17 hrs$1:15 hrs$1:10 hrs$1:11 hrs$1:15 hrs$1:18 hrs$1:25 hrs$1:26 hrs$1:52 hrs$1:30 hrs$1:48 hrs$1:54 hrs$1:52 hrs$1:47 hrs$1:41 hrs$43 min$1:01 hrs$50 min$1:03 hrs$1:06 hrs$1:12 hrs$1:15 hrs$1:18 hrs$1:21 hrs$1:23 hrs$1:26 hrs$1:05 hrs$1:09 hrs$1:10 hrs$1:13 hrs$1:01 hrs$1:12 hrs$52 min$ 
58030,BHC BLS PASS,,
58423,BHC CTC PASS,,
58435,BHC CTC PASS,,
58004,BHC HWH PASS,$ $39 min$30 min$28 min$39 min$33 min$28 min$28 min$38 min$31 min$35 min$27 min$39 min$12 min$47 min$13 min$10 min$13 min$12 min$15 min$1 hrs$31 min$14 min$14 min$12 min$11 min$14 min$8 min$12 min$12 min$15 min$5:02 hrs$1 min,$26 min$41 min$31 min$29 min$40 min$33 min$29 min$27 min$38 min$33 min$4 min$30 min$9 min$12 min$49 min$14 min$13 min$14 min$13 min$16 min$1:20 hrs$39 min$14 min$14 min$10 min$12 min$14 min$9 min$11 min$14 min$15 min$19 min$ 
22929,BHILAD BRC EXP,$ $3 min$0$1 min$3 min$0$8 min$7 min$8 min$8 min$9 min$11 min$10 min$2 min,$1 min$3 min$2 min$1 min$3 min$0$7 min$7 min$8 min$8 min$8 min$11 min$10 min$ 
55102,BHJ BTT PASS,$ $14 min,$22 min$ 
55104,BHJ BTT PASS,$ $0,$7 min$ 
55106,BHJ SRU PASS,$ ,$ 
55146,BHJ SRU PASS,$ ,$ 
79302,BHL RTM DEMU,$ $0$0$0$0$1 min$0$5 min$9 min$14 min$11 min$11 min$12 min$13 min$17 min$16 min$14 min$13 min$17 min$30 min$33 min$34 min$36 min$35 min$13 min,$0$3 min$3 min$14 min$11 min$7 min$7 min$3 min$9 min$18 min$11 min$13 min$12 min$18 min$17 min$16 min$14 min$16 min$32 min$31 min$36 min$36 min$38 min$36 min$ 
55720,BHNG DKGN PASS,$ $0$22 min$15 min$0,$0$19 min$20 min$15 min$ 
12155,BHOPAL  EXPRESS,$ $10 min$14 min$10 min$1 min$12 min$27 min$30 min$35 min$4 min,$3 min$11 min$16 min$12 min$7 min$14 min$26 min$30 min$38 min$ 
12156,BHOPAL  EXPRESS,$ $4 min$11 min$7 min$25 min$26 min$36 min$40 min$47 min$34 min,$0$9 min$11 min$9 min$24 min$30 min$37 min$40 min$51 min$ 
12002,BHOPAL SHTBDI,$ $7 min$7 min$2 min$5 min$7 min$2 min$6 min$12 min$2 min,$1 min$7 min$7 min$3 min$5 min$5 min$3 min$6 min$15 min$ 
13015,KABIGURU EXPRESS,$ $10 min$20 min$21 min$22 min$21 min$27 min$12 min$10 min$20 min$0$2 min$2 min$7 min$14 min$0,$6 min$11 min$21 min$22 min$26 min$20 min$21 min$11 min$9 min$19 min$6 min$7 min$11 min$9 min$19 min$ 
12846,BHUBANESHWAR EXP,$ $0$0$0$0$0$10 min$7 min$0$21 min$3 min$0$15 min$0$2 min$1 min$0$0$0$0,$0$0$0$2 min$0$1 min$12 min$10 min$17 min$22 min$0$12 min$16 min$1 min$1 min$1 min$1 min$0$0$ 
12829,BHUBANESWAR EXP,$ $8 min$2 min$4 min$5 min$12 min$20 min$0$33 min$33 min$31 min$56 min$42 min$0$0$0$0$0$0,$4 min$8 min$3 min$6 min$7 min$12 min$20 min$12 min$34 min$33 min$33 min$57 min$43 min$3 min$0$2 min$0$1 min$ 
18495,BHUBANESWAR EXP,$ $10 min$18 min$12 min$19 min$16 min$5 min$50 min$1:07 hrs$1:14 hrs$1:23 hrs$1:26 hrs$1:26 hrs$19 min$10 min$5 min$15 min$0$3 min$0$3 min$0$0,$0$9 min$19 min$20 min$19 min$17 min$30 min$49 min$1:09 hrs$1:25 hrs$1:23 hrs$1:25 hrs$1:26 hrs$25 min$4 min$6 min$17 min$2 min$2 min$10 min$2 min$0$ 
22903,BHUJ AC S F EXP,$ $4 min$0$5 min$2 min$9 min$13 min$13 min$5 min,$0$5 min$0$4 min$6 min$9 min$13 min$7 min$ 
19116,BHUJ DDR EXP,$ $4 min$4 min$1 min$10 min$6 min$18 min$28 min$34 min$9 min$2 min$5 min$1 min$0$5 min$9 min$10 min$8 min$7 min$9 min$2 min$11 min$17 min$12 min$19 min$19 min$16 min$11 min,$0$5 min$4 min$4 min$10 min$6 min$19 min$28 min$35 min$10 min$6 min$5 min$2 min$2 min$6 min$9 min$10 min$8 min$8 min$9 min$5 min$11 min$17 min$13 min$19 min$19 min$16 min$ 
12960,BHUJ DADAR EXP,$ $0$6 min$3 min$11 min$13 min$23 min$29 min$39 min$38 min$13 min$32 min$13 min$1 min$0$1 min$0$0$0$0,$3 min$1 min$6 min$2 min$13 min$13 min$23 min$29 min$39 min$38 min$22 min$34 min$13 min$3 min$1 min$4 min$0$4 min$3 min$ 
59425,BHUJ PNU PASS,,
11091,BHUJ PUNE EXP,$ $3 min$3 min$0$12 min$7 min$26 min$41 min$28 min$18 min$0$0$0$7 min$0$0$0$0$0$1 min$1 min$5 min$0,$1 min$3 min$3 min$3 min$12 min$7 min$27 min$45 min$29 min$0$0$0$0$7 min$1 min$1 min$3 min$1 min$0$2 min$6 min$5 min$ 
22829,BHUJ SHM EXP,$ $3 min$0$13 min$4 min$39 min$4 min$0$0$0$0$27 min$28 min$1:02 hrs$25 min,$1 min$3 min$2 min$13 min$4 min$42 min$0$0$0$0$0$28 min$26 min$1:03 hrs$ 
59077,BHUSAVAL PASS,$ $8 min$12 min$10 min$13 min$14 min$14 min$17 min$19 min$20 min$21 min$21 min$6 min$7 min$9 min$12 min$14 min$28 min$30 min$21 min$18 min$21 min$14 min$9 min$0$16 min$17 min,$0$8 min$12 min$11 min$12 min$16 min$19 min$22 min$19 min$20 min$22 min$21 min$9 min$8 min$12 min$12 min$20 min$28 min$31 min$21 min$17 min$21 min$13 min$9 min$14 min$20 min$ 
59013,BHUSAVAL PASS,$ $8 min$18 min$19 min$22 min$19 min$22 min$13 min$21 min$23 min$3 min$0$0$11 min$11 min$14 min$16 min$17 min$17 min$18 min$8 min$11 min$8 min$9 min$12 min$0$7 min$3 min,$0$14 min$17 min$21 min$22 min$23 min$22 min$17 min$23 min$27 min$16 min$5 min$9 min$11 min$11 min$14 min$16 min$17 min$17 min$17 min$14 min$11 min$8 min$8 min$9 min$5 min$6 min$ 
59075,BHUSAVAL PASS,$ $5 min$11 min$10 min$10 min$10 min$13 min$0$13 min$14 min$34 min$34 min$21 min$26 min$33 min$36 min$32 min$49 min$0$23 min$22 min$25 min$26 min$26 min$27 min$25 min$24 min$23 min$18 min$14 min$13 min$9 min$8 min$12 min$37 min$56 min$1:05 hrs,$0$11 min$10 min$11 min$10 min$13 min$14 min$17 min$13 min$32 min$36 min$37 min$27 min$29 min$35 min$36 min$38 min$52 min$23 min$21 min$22 min$27 min$26 min$26 min$26 min$25 min$24 min$22 min$18 min$15 min$12 min$9 min$9 min$9 min$57 min$1:04 hrs$ 
53036,BHW AZ PASS,$ $14 min$14 min$30 min$26 min$30 min$42 min$48 min$51 min$50 min$49 min$32 min$40 min,$9 min$15 min$23 min$31 min$26 min$31 min$42 min$49 min$51 min$50 min$31 min$28 min$ 
53434,BHW AZ PASS,$ $33 min$35 min$42 min$48 min$50 min$53 min$2:15 hrs$2:17 hrs$2:18 hrs$2:17 hrs$2:56 hrs$1:51 hrs,$30 min$34 min$36 min$42 min$49 min$51 min$2:09 hrs$2:15 hrs$2:51 hrs$2:18 hrs$2:18 hrs$4:45 hrs$ 
53064,BHW BWN PASS,$ $10 min$19 min$14 min$20 min$24 min$24 min$36 min$33 min$32 min$33 min$35 min$38 min$48 min$1 hrs$51 min$58 min$58 min$53 min$54 min$20 min$23 min$25 min$24 min$27 min$30 min$23 min$33 min$25 min$29 min$12 min$12 min$4 min$13 min,$7 min$13 min$21 min$14 min$23 min$25 min$30 min$38 min$34 min$33 min$34 min$37 min$44 min$59 min$1:01 hrs$56 min$58 min$58 min$54 min$1:22 hrs$23 min$24 min$25 min$26 min$27 min$31 min$23 min$33 min$28 min$29 min$13 min$12 min$4 min$ 
53076,BHW RPH PASS,$ $32 min$36 min$36 min$37 min$37 min$36 min$36 min$37 min$39 min$28 min$25 min$14 min,$27 min$32 min$36 min$36 min$38 min$37 min$36 min$37 min$38 min$39 min$27 min$33 min$ 
53138,BHW RPH PASS,$ $20 min$26 min$27 min$24 min$24 min$32 min$54 min$53 min$1:02 hrs$1:04 hrs$1:06 hrs$44 min,$1 min$19 min$27 min$28 min$26 min$29 min$1:04 hrs$57 min$1 hrs$1:02 hrs$1:07 hrs$1:09 hrs$ 
53411,BHW SBG PASS,$ $1:32 hrs$1:54 hrs$2 hrs$2:02 hrs$2:08 hrs$2:04 hrs$2:18 hrs$2:17 hrs$2:51 hrs,$1:26 hrs$1:48 hrs$1:55 hrs$2 hrs$2:06 hrs$2:09 hrs$2:04 hrs$2 hrs$2:20 hrs$ 
77651,BIDR KLBG PASS,$ $4 min$0$36 min$11 min,$1 min$5 min$1 min$36 min$ 
77655,BIDR KLBG DMU,$ $52 min,$1 min$ 
17009,BIDR HYB EXP,$ $15 min$19 min$8 min$16 min$22 min$18 min$1 min,$11 min$14 min$20 min$9 min$17 min$25 min$18 min$ 
11076,BIDR LTT EXP,$ $37 min$0$0$0$4 min$10 min$40 min$0,$29 min$37 min$0$0$0$31 min$15 min$40 min$ 
16572,BIDR YPR EXP,$ $11 min$1 min$14 min$11 min$5:32 hrs$6 min$7 min$12 min$12 min$9 min$26 min$17 min$13 min$17 min$22 min$11 min,$0$11 min$22 min$14 min$11 min$0$8 min$8 min$12 min$14 min$20 min$33 min$17 min$15 min$18 min$22 min$ 
12566,BIHAR S KRANTI,$ $4 min$41 min$1:09 hrs$1:14 hrs$1:23 hrs$1:30 hrs$1:40 hrs$2:17 hrs$2:25 hrs$2:35 hrs$2:22 hrs$2:14 hrs,$0$13 min$44 min$1:11 hrs$1:14 hrs$1:23 hrs$1:35 hrs$1:44 hrs$2:19 hrs$2:25 hrs$2:35 hrs$2:22 hrs$ 
12565,BIHAR S KRANTI,$ $0$21 min$17 min$23 min$48 min$47 min$53 min$48 min$0$26 min$43 min$1:05 hrs,$0$2 min$24 min$19 min$24 min$48 min$47 min$53 min$44 min$0$35 min$54 min$ 
22476,CBE HSR AC EXP,$ $13 min$8 min$35 min$25 min$55 min$47 min$54 min$1:39 hrs$1:36 hrs$25 min$31 min$25 min$48 min$1:09 hrs$1:26 hrs$1:54 hrs$1:58 hrs$1:47 hrs$1:21 hrs$1:17 hrs$1:26 hrs$1:42 hrs$1:14 hrs$1:15 hrs$1:12 hrs$1:21 hrs$1:59 hrs$2:20 hrs$2:23 hrs$1:10 hrs$1:23 hrs$1:26 hrs$1:33 hrs$1:41 hrs$1:42 hrs$1:05 hrs,$3 min$13 min$20 min$35 min$48 min$1:06 hrs$49 min$58 min$1:42 hrs$1:39 hrs$26 min$37 min$28 min$47 min$1:03 hrs$1:26 hrs$1:54 hrs$1:59 hrs$1:32 hrs$1:30 hrs$1:18 hrs$1:26 hrs$1:42 hrs$1:14 hrs$1:14 hrs$1:12 hrs$1:35 hrs$2 hrs$2:19 hrs$2:23 hrs$1:18 hrs$1:26 hrs$1:26 hrs$1:41 hrs$1:43 hrs$1:37 hrs$ 
16312,KCVL SGNR EXP,$ $20 min$27 min$30 min$31 min$15 min$16 min$20 min$16 min$6 min$40 min$32 min$35 min$28 min$17 min$0$0$2 min$9 min$0$7 min$16 min$16 min$17 min$23 min$0$0$16 min$6 min$0$5 min$2 min$16 min$3 min$20 min$3 min$15 min$0$8 min$9 min$17 min$34 min$31 min$33 min$0$5 min$6 min$4 min$0,$15 min$19 min$27 min$30 min$31 min$16 min$16 min$20 min$18 min$38 min$40 min$32 min$36 min$28 min$17 min$1 min$1 min$2 min$14 min$0$13 min$24 min$33 min$21 min$23 min$6 min$0$16 min$6 min$3 min$5 min$1 min$17 min$5 min$21 min$2 min$24 min$0$8 min$8 min$27 min$34 min$30 min$33 min$23 min$2 min$6 min$5 min$ 
