Train Number,Train Name,Arrival Delays,Departure Delays
38602,KIG HWH LOCAL,$ $5 min$4 min$9 min$9 min$10 min$13 min$13 min$10 min$12 min$16 min$11 min$18 min$3 min,$3 min$5 min$4 min$9 min$9 min$10 min$13 min$14 min$10 min$12 min$16 min$11 min$18 min$ 
11018,KIK LTT EXPRESS,$ $11 min$22 min$30 min$1:14 hrs$1:22 hrs$1:22 hrs$1:22 hrs$30 min$7 min$2 min$5 min$15 min$17 min$20 min$50 min$35 min$51 min$1:03 hrs$58 min$0$11 min$47 min$24 min$21 min$38 min$12 min,$0$15 min$22 min$55 min$1:14 hrs$1:21 hrs$1:21 hrs$1:20 hrs$25 min$7 min$12 min$5 min$18 min$16 min$20 min$52 min$54 min$1 hrs$1:04 hrs$58 min$8 min$13 min$1:10 hrs$28 min$23 min$38 min$ 
56513,KIK SBC FAST PASS,$ $6 min$5 min$17 min$32 min$35 min$28 min$16 min$16 min$17 min$16 min$10 min$6 min$24 min$24 min$23 min$22 min$2 min$17 min$17 min$12 min$18 min$16 min$19 min$19 min$22 min$15 min$19 min$26 min$25 min$29 min$30 min$25 min$23 min$26 min$31 min$32 min$30 min$34 min$36 min$37 min$9 min$10 min$2 min,$0$6 min$3 min$25 min$32 min$41 min$13 min$16 min$16 min$17 min$17 min$9 min$21 min$25 min$24 min$23 min$22 min$16 min$19 min$17 min$20 min$17 min$16 min$20 min$21 min$22 min$15 min$21 min$26 min$25 min$29 min$26 min$25 min$23 min$26 min$31 min$32 min$30 min$41 min$36 min$48 min$10 min$10 min$ 
76815,KIK TJ DEMU,$ $3 min$7 min$10 min$9 min$16 min$16 min$22 min$25 min$0,$0$10 min$10 min$10 min$14 min$16 min$16 min$22 min$25 min$ 
56711,KIK TPJ DMU,$ $2 min$6 min$10 min$15 min$14 min$19 min$25 min$32 min$14 min$15 min$16 min$18 min$20 min$18 min$3 min,$1 min$4 min$8 min$10 min$13 min$14 min$19 min$26 min$32 min$13 min$17 min$18 min$18 min$20 min$17 min$ 
76813,KIK VLKN DMU,$ $6 min$0$0,$0$7 min$0$ 
15707,KIR ASR EXPRESS,$ $11 min$11 min$12 min$14 min$3 min$9 min$22 min$0$10 min$17 min$19 min$0$2 min$8 min$16 min$11 min$31 min$34 min$35 min$23 min$23 min$24 min$1:25 hrs$28 min$39 min$20 min$4 min$33 min$40 min$1:43 hrs$1:25 hrs$1:29 hrs$1:43 hrs$46 min$1:36 hrs$1:34 hrs$1:37 hrs$1:41 hrs$2:54 hrs$1:51 hrs$2 hrs$1:26 hrs$1:36 hrs$1:39 hrs$1:43 hrs$1:25 hrs$1:51 hrs$1:37 hrs$1:41 hrs$1:49 hrs$51 min,$0$11 min$13 min$12 min$25 min$9 min$11 min$23 min$1 min$10 min$15 min$19 min$3 min$4 min$8 min$17 min$14 min$26 min$34 min$35 min$22 min$28 min$29 min$1:25 hrs$30 min$39 min$19 min$11 min$34 min$44 min$1:40 hrs$1:24 hrs$1:29 hrs$1:49 hrs$1:41 hrs$1:36 hrs$1:34 hrs$1:25 hrs$1:43 hrs$2:54 hrs$1:58 hrs$2:01 hrs$1:27 hrs$1:37 hrs$1:41 hrs$1:45 hrs$1:27 hrs$1:51 hrs$1:40 hrs$1:36 hrs$1:49 hrs$ 
55223,SPJ DBG PASS,,
15712,KIR HWH EXPRESS,,
55704,KIR MLFC PASS,$ $10 min$12 min$12 min$12 min$18 min$19 min$21 min$23 min$23 min$22 min$22 min$20 min$16 min,$5 min$13 min$14 min$12 min$15 min$17 min$19 min$23 min$23 min$23 min$22 min$21 min$23 min$ 
