Station Names,Station Codes,Latitude,Longitude
KIZHA PULIYUR,KYZ,8.9534° N,77.3230° E
KIZHVELUR,KVL,10.7701° N,79.7442° E
KOCHUVELI,KCVL,8.5097° N,76.8972° E
KODAGANUR,KAG,14.3352° N,76.0385° E
KODAIKANAL ROAD,KQN,10.1788° N,77.9104° E
KODAMBAKAM,MKK,13.0521° N,80.2255° E
KODAVALURU,KJJ,14.5658° N,80.0039° E
KODERMA JN,KQR,24.4349° N,85.5292° E
KODI,KODI,13.4588° N,74.6957° E
KODIGEHALLI,KDGH,13.0697° N,77.5788° E
KODIKKALPALAIYM,KOM,10.7754° N,79.6418° E
KODIMBALA,KDBA,12.7206° N,75.4775° E
KODINAR,KODR,20.8009° N,70.6960° E
KODIYAR MANDIR,KDMR,null,null
KODUMMUNDA,KODN,10.8203° N,76.1523° E
KODUMUDI,KMD,11.0788° N,77.8867° E
KODURU,KOU,13.9569° N,79.3506° E
KOELWAR,KWR,25.5793° N,84.7916° E
KOHAND,KFU,29.4919° N,76.9629° E
KOHAR SINGHWALA,KRSW,30.7642° N,74.4423° E
KOHDAD,KDK,null,null
KOHIR DECCAN,KOHR,17.6094° N,77.7125° E
KOHLI,KOHL,null,null
KOILAKUNTLA,KLKA,15.2304° N,78.3174° E
KOIRIPUR,KEPR,26.0297° N,82.3418° E
KOKA,KOKA,21.2014° N,79.7896° E
KOKALDA,KXD,21.0355° N,77.3353° E
KOKPARA,KKPR,22.4514° N,86.5893° E
KOKRAJHAR,KOJ,26.4014° N,90.2667° E
KOLAD,KOL,18.4077° N,73.2102° E
KOLAGHAT,QGT,22.4352° N,87.8607° E
KOLAKALUR,KLX,16.3036° N,80.6174° E
KOLANALLI,CNY,null,null
KOLANUKONDA,KAQ,16.4519° N,80.6091° E
KOLAR,KQZ,13.1362° N,78.1291° E
KOLARAS,KLRS,25.2243° N,77.6107° E
KOLATUR,KLS,13.1240° N,80.2121° E
KOLAYAT,KLYT,27.8357° N,72.9520° E
KOLDA,KFF,21.0731° N,82.6132° E
KOLKATA,CP,22.5726° N,88.3639° E
KOLKATA,KOAA,22.5726° N,88.3639° E
KOLLAM JN,QLN,8.9969° N,76.8721° E
KOLLENGODE,KLGD,10.6139° N,76.6908° E
KOLLIDAM,CLN,11.3307° N,79.7204° E
KOLLIKHUTAHA,KKTA,25.1918° N,86.9882° E
KOLNUR,KOLR,18.5468° N,77.4157° E
KOLVAGRAM,KVGM,26.9607° N,76.4766° E
KOMAKHAN,KMK,20.9676° N,82.4685° E
KOMALI,KMQA,16.0187° N,80.5737° E
KOMARPUR,KMPR,23.7206° N,87.9972° E
KOMATIPALLI,KMX,18.6021° N,83.3956° E
KONCH,KNH,26.0048° N,79.1605° E
KONDAGUNTA,KQA,14.0827° N,79.7940° E
KONDAPALLI,KI,16.6209° N,80.5413° E
KONDAPURAM,KDP,14.7757° N,78.1949° E
KONDIKOPPA,KNKP,15.4464° N,75.4785° E
KONDRAPOLE HALT,KDRL,16.7853° N,79.6011° E
KONNAGAR,KOG,22.6997° N,88.3183° E
KONNUR,KONN,16.2012° N,74.7439° E
KOPA SAMHOTA,KPS,25.8067° N,84.6862° E
KOPAGANJ,KPJ,26.0194° N,83.5630° E
KOPAI,KPLE,22.1859° N,93.0245° E
KOPAR,KOPR,19.1045° N,73.0033° E
KOPARGAON,KPG,19.8849° N,74.4728° E
KOPARIA,KFA,25.6478° N,86.6110° E
KOPARLAHAR,KPLR,32.0519° N,76.2505° E
KOPPAL,KBL,15.3505° N,76.1567° E
KORA,KORA,25.6191° N,87.3984° E
KORADACHERI,KDE,10.7701° N,79.4919° E
KORADIH P H,KRDH,null,null
KORAHIA,KRHA,26.5266° N,86.1396° E
KORAI HALT,KRIH,20.9598° N,86.1766° E
KORAPUT,KRPU,18.8135° N,82.7123° E
KORARI,KURO,25.3212° N,85.6480° E
KORATLA,KRLA,18.8253° N,78.7148° E
KORATTI ANGADI,KRAN,10.2604° N,76.3564° E
KORATTUR,KOTR,13.1082° N,80.1834° E
KORAVANGALA,KRVL,13.0513° N,76.1769° E
KORBA,KRBA,22.3595° N,82.7501° E
KOREGAON,KRG,17.6966° N,74.1607° E
KORUKKUPET JN,KOK,null,null
KORUKONDA,KUK,18.0643° N,83.3342° E
KOSAD,KSE,21.2545° N,72.8624° E
KOSAI,KSAE,19.6360° N,78.3245° E
KOSAMBA JN,KSB,21.4647° N,72.9549° E
KOSGI,KO,16.9878° N,77.7169° E
KOSI KALAN,KSV,27.7871° N,77.4382° E
KOSIARA,KVQ,24.1186° N,84.0035° E
KOSLI,KSI,28.3969° N,76.4852° E
KOSMA,KOZ,27.4442° N,78.2960° E
KOT FATTEH,KTF,30.1135° N,75.0816° E
KOT KAPURA,KKP,30.5828° N,74.8150° E
KOTA JN,KOTA,25.2239° N,75.8808° E
KOTABOMMALI,KBM,18.5184° N,84.1514° E
KOTAKADRA,KTKA,16.6675° N,77.8707° E
KOTALA,KEN,13.5924° N,79.2818° E
KOTALPUKUR,KLP,24.7387° N,87.8267° E
KOTANA,KTOA,21.2310° N,70.8924° E
KOTAPAR ROAD,KPRR,19.0411° N,82.3087° E
KOTARLIA,KRL,21.8728° N,83.4646° E
KOTDA BAVISHI,KDBS,21.9186° N,70.0757° E
KOTDWARA,KTW,29.7524° N,78.5269° E
KOTESHWAR,KOH,23.6948° N,68.5329° E
KOTH GANGAD,KTGD,22.6279° N,72.3016° E
KOTHA PAKKI,KTPK,null,null
KOTHACHERUVU,KTCR,14.1884° N,77.7652° E
KOTHAR,KTR,20.3696° N,73.1173° E
KOTHARA,QTR,23.1340° N,68.9346° E
KOTHARI ROAD,KTHD,null,null
KOTHARIYA,RKY,22.2448° N,70.8136° E
KOTI,KOTI,17.3858° N,78.4794° E
KOTIKULAM,KQK,12.4235° N,75.0241° E
KOTLA GUJRAN,KTGN,31.8123° N,74.9363° E
KOTLAKHERI,KTKH,22.0748° N,76.1744° E
KOTLI KALAN,KTKL,30.0376° N,75.2931° E
KOTMA,KTMA,23.2687° N,82.1387° E
KOTMI SONAR P H,KTSH,null,null
KOTRA,KTRA,24.3582° N,73.1763° E
KOTSHILA,KSX,23.4031° N,86.0695° E
KOTTA PNDLPALLI,KPLL,null,null
KOTTAIYUR,KTYR,10.1096° N,78.7901° E
KOTTAKOTA,KOHA,16.3787° N,77.9410° E
KOTTAPALLI,KYOP,18.8792° N,84.5258° E
KOTTARAKARA,KKZ,9.0056° N,76.7831° E
KOTTAVALASA,KTV,17.8909° N,83.1908° E
KOTTAYAM,KTYM,9.5916° N,76.5222° E
KOTTUR HALT,KOTT,null,null
KOTTURPURAM,KTPM,13.0180° N,80.2411° E
KOTTURU,KTY,14.8267° N,76.2218° E
KOVILPATTI,CVP,9.1727° N,77.8715° E
KOVVUR,KVR,17.0126° N,81.7274° E
KOYILVENNI,KYV,10.7825° N,79.3606° E
KOZHIKKODE,CLT,11.2588° N,75.7804° E
KRISHNA,KSN,null,null
KRISHNA BALLABH,KBSH,null,null
KRISHNA CANAL,KCC,null,null
KRISHNA CH PURA,KCV,null,null
KRISHNAMMAKONA,KEF,null,null
KRISHNAPUR,KRP,22.6628° N,88.2765° E
KRISHNAPURAM,KPU,9.1491° N,76.5286° E
KRISHNARAJAPURM,KJM,13.0170° N,77.7044° E
KRISHNARAJASGRA,KJS,12.4078° N,76.5748° E
KRISHNARAJNAGAR,KRNR,12.4400° N,76.3811° E
KRISHNASHILLA,KRSL,null,null
KRISHNGR CTY JN,KNJ,null,null
KRISNAMSETIPALI,KSTS,null,null
KSR BENGALURU,SBC,12.9781° N,77.5695° E
KUANRIYA,KXA,25.1190° N,74.0215° E
KUARMUNDA,KRMD,22.2826° N,84.7707° E
KUBERPUR,KBP,27.2227° N,78.0975° E
KUCHAMAN CITY,KMNC,null,null
KUCHMAN,KCA,25.3209° N,83.2125° E
KUDA SALT SDG,KDR,null,null
KUDACHI,KUD,16.6248° N,74.8510° E
KUDAL,KUDL,16.0000° N,73.6831° E
KUDALA SANGAM,KSAR,16.2030° N,76.0599° E
KUDALNAGAR,KON,9.9643° N,78.0966° E
KUDATINI,KDN,15.1964° N,76.7596° E
KUDGI,KDGI,16.5272° N,75.8294° E
KUDIKADU,KXO,11.2738° N,79.4971° E
KUDNI,KUDN,26.1838° N,80.4020° E
KUDRA,KTQ,25.0461° N,83.7935° E
KUDSAD,KDSD,21.3751° N,72.9210° E
KUHI,KUHI,21.0172° N,79.3677° E
KUHURI,KUU,19.8744° N,85.3535° E
KUKARVADA,KKRV,23.5544° N,72.6181° E
KUKMA,KEMA,23.2178° N,69.7778° E
KUKRA KHAPA,KFP,21.8137° N,78.8965° E
KULALI,KUI,16.3959° N,75.2227° E
KULDIHA,KIJ,21.4096° N,86.7335° E
KULEM,QLM,15.3335° N,74.2438° E
KULGACHIA,KGY,22.4723° N,88.0207° E
KULHARIA,KUA,25.5726° N,84.7707° E
KULIKARAI,KU,null,null
KULIPALAIYAM,KUY,11.1443° N,77.3823° E
KULITALAI,KLT,10.9426° N,78.4172° E
KULITTHURAI,KZT,8.3129° N,77.2041° E
KULITTURAI WEST,KZTW,8.3241° N,77.2089° E
KULLANCHAVADI,KLNC,11.6269° N,79.6676° E
KULPAHAR,KLAR,25.3087° N,79.6390° E
KULTI,ULT,23.7370° N,86.8371° E
KULUKKALUR,KZC,10.8652° N,76.2305° E
KULWA,KLA,null,null
KUMAHU,KMGE,24.9689° N,83.9612° E
KUMAR SADRA,KMSD,null,null
KUMARANALLUR,KFQ,9.6115° N,76.5335° E
KUMARAPURAM,KPM,8.3441° N,77.8360° E
KUMARBAGH,KUMB,26.8733° N,84.5170° E
KUMARDUBI,KMME,22.2616° N,86.8101° E
KUMARGANJ,KMRJ,25.4249° N,88.7289° E
KUMARGHAT,KUGT,24.1602° N,92.0322° E
KUMARHATTI,KMTI,30.8885° N,77.0572° E
KUMBAKONAM,KMU,10.9602° N,79.3845° E
KUMBALAM,KUMM,9.9022° N,76.3104° E
KUMBHRAJ,KHRJ,24.3733° N,77.0550° E
KUMBLA,KMQ,12.5946° N,74.9472° E
KUMEDPUR,KDPR,25.4279° N,87.8063° E
KUMENDI,KMND,23.7640° N,84.3646° E
KUMHAR MARENGA,KMEZ,null,null
KUMHARI,KMI,21.2477° N,81.5161° E
KUMRABAD ROHINI,KBQ,null,null
KUMRUL,KMRL,22.9259° N,87.9849° E
KUMSI,KMSI,14.0551° N,75.3993° E
KUMTA,KT,14.4275° N,74.4191° E
KUMTHA KHURD,KTKR,18.4208° N,77.0097° E
KUND,KUND,28.1459° N,76.3947° E
KUNDA HARNAMGNJ,KHNM,25.7148° N,81.5093° E
KUNDALGARH,KDLG,25.1528° N,73.5870° E
KUNDAPURA,KUDA,13.6235° N,74.6917° E
KUNDARA,KUV,8.9602° N,76.6788° E
KUNDARA EAST,KFV,8.9690° N,76.6899° E
KUNDARKHI,KD,28.6911° N,78.7838° E
KUNDGOL,KNO,15.2553° N,75.2475° E
KUNDHELA,KDHL,22.1881° N,73.2824° E
KUNDLI,KDI,28.8676° N,77.1180° E
KUNDWA CHAINPUR,KWC,26.7709° N,85.1852° E
KUNEANGANJ,KVG,26.4543° N,81.1200° E
KUNERU,KNRT,18.9678° N,83.4350° E
KUNIGAL,KIGL,13.0259° N,77.0449° E
KUNKAVAV JN,KKV,21.6351° N,70.9814° E
KUNKAVAV TOWN,KVT,21.6351° N,70.9814° E
KUNKI,KZU,18.6302° N,77.1428° E
KUNNATHUR,KNNT,11.2667° N,77.4090° E
KUNTIGHAT,KJU,23.0164° N,88.4129° E
KUNURI,KNRI,23.9162° N,87.6112° E
KUP,KUP,30.6058° N,75.8708° E
KUPGAL,KGL,15.2022° N,76.9801° E
KUPPAM,KPN,12.7461° N,78.3423° E
KURABALAKOTA,KBA,13.6526° N,78.4816° E
KURAL,KORL,22.1419° N,72.9217° E
KURALI,KRLI,30.8308° N,76.5801° E
KURAM,KUM,20.7534° N,77.5791° E
KURANGA,KRGA,22.0438° N,69.1657° E
KURASTI KALAN,KKS,25.9591° N,80.7495° E
KURAWAN,KRO,24.1437° N,75.5451° E
KURDUVADI,KWV,18.0975° N,75.4249° E
KUREBHAR,KBE,26.4128° N,82.1215° E
KURETHA,KUQ,25.4900° N,87.6512° E
KURGUNTA,KQT,17.1861° N,77.3511° E
KURHANI,KHI,25.9832° N,85.3345° E
KURI,KIF,25.9240° N,72.3489° E
KURICHEDU,KCD,15.9066° N,79.5786° E
KURIKAD,KFE,10.9254° N,79.8380° E
KURINIJIPADI,KJPD,11.5642° N,79.5960° E
KURKURA,KRKR,22.7956° N,84.9245° E
KURLA JN,CLA,null,null
KURLAS,KRLS,19.0726° N,72.8845° E
KURNOOL CITY,KRNT,15.8281° N,78.0373° E
KURRAIYA,KRYA,28.8901° N,79.4563° E
KURSELA,KUE,25.4510° N,87.2502° E
KURSEONG,KGN,26.8821° N,88.2789° E
KURUD P H,KRX,null,null
KURUKSHETRA JN,KKDE,null,null
KURUMBUR,KZB,8.5907° N,78.0395° E
KURUMURTHI,KXI,16.4290° N,77.8231° E
KURUPPAN TARA,KRPP,null,null
KURWAI KETHORA,KIKA,24.1181° N,78.1158° E
KUSHAL PURA,KLSP,26.0974° N,73.9580° E
KUSHTALA,KTA,25.9698° N,76.2928° E
KUSHTAUR,KSU,23.4035° N,86.4542° E
KUSIARGAON,KSY,26.0403° N,87.4876° E
KUSLAMB,KCB,18.8598° N,75.3715° E
KUSMHI,KHM,26.7327° N,83.2794° E
KUSUGALI,KUG,null,null
KUSUMBHI,KVX,26.5799° N,81.3606° E
KUSUMKASA,KYS,20.6633° N,81.0854° E
KUSUNDA JN,KDS,null,null
KUSWA,KWW,27.4890° N,78.4155° E
KUTHUR,KOQ,21.9107° N,82.5267° E
KUTTAKUDI,KKTI,10.0795° N,77.2624° E
KUTTALAM,KTM,8.9341° N,77.2779° E
KUTTIPPURAM,KTU,10.8423° N,76.0299° E
KUTURUKHAMAR PH,KTRK,19.9039° N,83.0585° E
KUWANTHAL,KUTL,25.4148° N,73.9099° E
KYARKOP,KRKP,15.4551° N,74.9558° E
KYATANEAKERI RD,KTK,17.0524° N,75.8205° E
KYATSANDRA,KIAT,13.3142° N,77.1460° E
L NARAYANAPURAM,LKSH,null,null
LABAN,LBN,25.5489° N,76.2262° E
LABHA,LAV,27.1085° N,88.5611° E
LABPUR,LBP,23.8161° N,87.7985° E
LACHHIPURA,LAC,24.9550° N,73.9375° E
LACHHMANGARH SK,LNH,null,null
LACHHMANPUR,LMN,23.4318° N,87.0374° E
LACHMANPUR ROAD,LCME,null,null
LACHMIPUR,LIR,25.1303° N,87.4201° E
LACHYAN,LHN,17.2760° N,75.9739° E
LADDA,LDX,30.3155° N,75.8214° E
LADDIVADI HALT,LDVD,null,null
LADHOWAL,LDW,30.9785° N,75.7938° E
LADHUKA,LDK,30.5023° N,74.1034° E
LADKHED,LDD,20.3452° N,77.9153° E
LADNUN,LAU,27.6443° N,74.3881° E
LADPURA,LR,25.1528° N,75.1210° E
LAGARGAWAN,LGCE,24.4646° N,80.8149° E
LAHABON,LHB,24.6407° N,86.6004° E
LAHAVIT,LT,19.8510° N,73.8132° E
LAHERIA SARAI,LSI,26.1181° N,85.9002° E
LAHING,LH,null,null
LAHLI,LHLL,28.8525° N,76.4529° E
LAHOAL,LHL,27.4527° N,95.0013° E
LAIHRA KHANA,LHK,30.2234° N,75.1414° E
LAILAKH MAMLKHA,LMM,25.2180° N,87.1050° E
LAJPAT NAGAR,LPNR,28.5649° N,77.2403° E
LAKADIYA,LKZ,23.3473° N,70.5830° E
LAKHABAWAL,LKBL,22.4106° N,69.9980° E
LAKHAMANCHI,LMC,22.5717° N,71.1486° E
LAKHERI,LKE,25.6650° N,76.1813° E
LAKHEWALI,LKW,30.4442° N,74.3485° E
LAKHIMPUR,LMP,27.9462° N,80.7787° E
LAKHMAPUR,LKY,20.5486° N,74.3558° E
LAKHMINIA,LKN,25.4107° N,86.3282° E
LAKHNA,LKNA,26.6495° N,79.1478° E
LAKHNAURIA,LNQ,26.1997° N,86.3234° E
LAKHO,LAK,25.4114° N,86.1783° E
LAKHOLI,LAE,21.2025° N,81.8886° E
LAKHPAT,LAA,23.8145° N,68.7692° E
LAKHPAT NAGAR,LKNR,23.8145° N,68.7692° E
LAKHPURI,LPU,20.8440° N,77.3597° E
LAKHTAR,LTR,22.8554° N,71.7918° E
LAKKADKOT,LKKD,19.5909° N,79.3409° E
LAKKAVARAPUKOTA,LVK,18.0234° N,83.1555° E
LAKKITI,LDY,11.5219° N,76.0247° E
LAKODARA,LKD,22.3072° N,73.1812° E
LAKSAR JN,LRJ,null,null
LAKSHANNATH RD,LXD,21.8420° N,87.2510° E
LAKSHMIBAI NGR,LMNR,28.5780° N,77.2088° E
LAKSHMIGANJ,LIJ,26.9303° N,83.7822° E
LAKSHMIKANTPUR,LKPR,22.1099° N,88.3209° E
LAKSHMIPUR,LKX,18.9932° N,83.1153° E
LAKSWA,LXA,27.0051° N,94.8438° E
LAL KALAN,LLKN,30.8356° N,76.1045° E
LAL KUAN,LKU,29.0676° N,79.5182° E
LALAGUDA GATE,LGDH,17.4408° N,78.5248° E
LALAPET,LP,17.4389° N,78.5416° E
LALAWADI,LLD,21.9128° N,78.1807° E
LALBAGH,LBZ,12.9507° N,77.5848° E
LALBAGH CRT RD,LCAE,24.1736° N,88.2466° E
LALBAZAR,LLBR,22.5720° N,88.3525° E
LALGANJ,LLJ,26.1651° N,80.9705° E
LALGARH JN,LGH,null,null
LALGOLA,LGL,24.4133° N,88.2607° E
LALGOPALGANJ,LGO,25.6528° N,81.6199° E
LALGUDI,LLI,10.8744° N,78.8184° E
LALIT GRAM,LLP,26.3564° N,87.0123° E
LALIT LAKSHMIPR,LLPR,26.4374° N,86.1570° E
LALITPUR JN,LAR,null,null
LALPUR,LLR,23.3721° N,85.3383° E
LALPUR CHANDRA,LCN,null,null
LALPUR JAM,LPJ,null,null
LALPUR UMRI,LRU,26.4298° N,76.6799° E
LALRU,LLU,30.4929° N,76.8020° E
LALURI KHERA,LUA,28.6130° N,79.7523° E
LAMANA,LNA,26.2361° N,74.4815° E
LAMBHUA,LBA,26.1403° N,82.2271° E
LAMBIYA,LMA,26.3951° N,74.0627° E
LAMSAKHANG,LKG,25.9288° N,92.9476° E
LAMTA,LTA,22.1306° N,80.1247° E
LANDAURA,LDR,29.7947° N,77.9082° E
LANGAL,LGI,22.5597° N,88.5680° E
LANGARPETH,LNP,17.0750° N,74.9494° E
LANGCHOLIET,LCT,25.7588° N,93.3049° E
LANGHNA,LNJ,18.1124° N,79.0193° E
LANGTING,LGT,25.4967° N,93.1125° E
LANJIGARH ROAD,LJR,19.9476° N,83.3936° E
LANKA,LKA,25.9288° N,92.9476° E
LANKALAKODERU,LKDU,16.5265° N,81.6816° E
LAOPANI,LPN,26.1993° N,92.5948° E
LAPANGA,LPG,21.7236° N,84.0154° E
LAR ROAD,LRD,26.2134° N,83.9101° E
LARABAD BH,LRB,null,null
LASALGAON,LS,20.1491° N,74.2326° E
LASERI,LSE,28.7076° N,75.4825° E
LASINA,LSN,20.4218° N,78.0252° E
LASUR,LSR,19.9282° N,75.0115° E
LATEHAR,LTHR,23.7463° N,84.5091° E
LATHI,LAT,21.7289° N,71.3913° E
LATHIDAD,LTD,22.1088° N,71.7678° E
LATHIKATA,LTK,22.1317° N,84.8855° E
LATIPURA,LPA,22.2226° N,73.0586° E
LATTERI,LTI,12.9707° N,79.0680° E
LATUR,LUR,18.4088° N,76.5604° E
LATUR ROAD,LTRR,18.5089° N,76.8447° E
LAUKAHA BAZAR,LKQ,26.5430° N,86.4628° E
LAUL,LAUL,18.0368° N,75.3928° E
LAVANPUR,LUN,22.9365° N,70.5414° E
LAWA SARDARGARH,LSG,25.2339° N,73.9772° E
LAXMIPUR ROAD,LKMR,19.0037° N,83.1044° E
LAYABAD,LYD,23.6634° N,86.6548° E
LEDARMER,LDM,25.0557° N,72.3473° E
LEDO,LEDO,27.2941° N,95.7379° E
LEHGAON,LGN,20.9765° N,77.3310° E
LEHRA,LER,30.7070° N,75.8498° E
LEHRA GAGA,LHA,29.9430° N,75.8011° E
LEHRA MUHABBAT,LHM,30.2470° N,75.1633° E
LEKODA,LOD,23.0547° N,75.7197° E
LELIGUMA,LLGM,19.2658° N,83.2118° E
LIDHORA KHURD,LDA,23.8506° N,78.8920° E
LIHURI,LRI,18.9129° N,83.8496° E
LILABARI,LBI,27.2875° N,94.0930° E
LILAPUR ROAD,LPR,25.4222° N,81.9253° E
LILIYA MOTA,LMO,21.5369° N,71.3676° E
LILUAH,LLH,22.6254° N,88.3293° E
LIMARUA,LMU,22.5029° N,80.3074° E
LIMBARA,LMB,21.4397° N,73.0388° E
LIMBDI,LM,22.5688° N,71.8019° E
LIMBGAON,LBG,19.1788° N,77.2024° E
LIMBODRA,LBD,23.3803° N,72.6698° E
LIMKHEDA,LMK,22.8358° N,73.9903° E
LINCH,LCH,23.4976° N,72.3755° E
LING,LING,22.9782° N,72.6295° E
LINGA,LIG,null,null
LINGAMGUNTLA,LIN,16.4408° N,80.2785° E
LINGAMPALLI,LPI,17.4837° N,78.3158° E
LINGAMPET JAGIT,LPJL,null,null
LINGANENIDODDI,LMD,15.3939° N,77.6966° E
LINGARAJ TMP RD,LGTR,null,null
LINGIRI,LGRE,16.6689° N,77.1897° E
LINGTI,LNT,32.1153° N,78.1760° E
LODHMA,LOM,23.2363° N,85.1985° E
LODI COLONY,LDCY,28.5863° N,77.2242° E
LODIPUR BISHNPR,LDP,null,null
LODNA,LRA,23.7308° N,86.4414° E
LOHA,LOHA,18.9474° N,77.1154° E
LOHAPUR,LAP,24.3013° N,87.9641° E
LOHARDAGA,LAD,23.4409° N,84.6845° E
LOHARPURWA,LPW,27.0532° N,83.2560° E
LOHARU,LHU,28.4267° N,75.8040° E
LOHARWARA,LHW,26.2436° N,74.7981° E
LOHGARA,LOG,25.2136° N,81.6963° E
LOHGARH ABUB,LGB,null,null
LOHIAN KHAS JN,LNK,null,null
LOHNA ROAD,LNO,26.2215° N,86.2291° E
LOHOGAD,LHD,18.6943° N,73.4873° E
LOHRA,LOT,24.9370° N,86.1764° E
LOISINGHA,LSX,20.8606° N,83.5097° E
LOKDHIKHERA,LDE,null,null
LOKMANYA NAGAR,LKMN,19.2079° N,72.9534° E
LOKMANYATILAK T,LTT,19.0695° N,72.8920° E
LOKNATH,LOK,22.8717° N,88.0341° E
LOKUR,LCR,null,null
LOKVIDYAPTH NGR,LVR,null,null
LOLIEM,LOL,14.9450° N,74.0888° E
LOLIYA,LO,22.5061° N,72.1698° E
LONAND,LNN,18.0417° N,74.1862° E
LONAVALA,LNL,18.7557° N,73.4091° E
LONDA JN,LD,null,null
LONGPATIA,LPTA,26.7416° N,94.5999° E
LONI,LONI,28.7334° N,77.2986° E
LORHA,LOA,23.5704° N,80.7727° E
LORWADA,LW,24.4963° N,71.6169° E
LOTANA,LAN,24.7679° N,72.9173° E
LOTAPAHAR,LPH,22.6176° N,85.5665° E
LOTARVA,LTV,21.1401° N,73.3178° E
LOTHAL BHURKHL,LHBK,22.5229° N,72.2494° E
LOTTEGOLAHALI H,LOGH,null,null
LOVEDALE,LOV,11.3818° N,76.7019° E
LOWER HAFLONG,LFG,25.1893° N,93.0213° E
LOWJEE,LWJ,18.8091° N,73.3354° E
LUCKEESARAI JN,LKR,null,null
LUCKNOW ALAMBGH,AMV,26.8128° N,80.9014° E
LUCKNOW CITY,LC,26.8467° N,80.9462° E
LUCKNOW NE,LJN,26.8305° N,80.9240° E
LUCKNOW NR,LKO,26.8311° N,80.9244° E
LUCKNOW WEST (A,LNWT,null,null
LUDHIANA JN,LDH,30.9135° N,75.8479° E
LUKWASA,LWS,25.1067° N,77.5992° E
LUMDING JN,LMG,25.7505° N,93.1766° E
LUNAVADA,LNV,23.1300° N,73.6109° E
LUNI JN,LUNI,null,null
LUNI RICHHA,LNR,23.6607° N,75.5145° E
LUNIDHAR,LDU,21.7022° N,71.1018° E
LUNKARANSAR,LKS,28.4961° N,73.7458° E
LUNSERIYA,LXR,null,null
LUSA,LUSA,24.8892° N,82.8291° E
LUSADIYA,LSD,23.7062° N,73.4460° E
LUSHALA,LAL,21.4000° N,70.3249° E
LYALLPUR KC HLT,LKK,null,null
MACHARYA,MCV,28.7801° N,78.4446° E
MACHAVARAM,MCVM,18.0181° N,78.2405° E
MACHCHALANDAPUR,MSL,22.8566° N,88.7450° E
MACHERLA,MCLA,16.4760° N,79.4394° E
MACHHAKUNDA,MKRD,18.5531° N,82.4889° E
MACHHRIAWAN,MCY,25.4630° N,85.2939° E
MACHILIPATNAM,MTM,16.1905° N,81.1362° E
MACHIYALA,MAC,21.6606° N,71.2354° E
MACHROWAR,MHWL,null,null
MADAN MAHAL,MML,23.1486° N,79.9095° E
MADANAPALLE RD,MPL,13.6445° N,78.5556° E
MADANKATA,MNC,22.7896° N,86.8283° E
MADANPUR,MPJ,23.0089° N,88.4912° E
MADAR,MD,null,null
MADAR JN,MDJN,null,null
MADARAHA,MFX,25.1607° N,82.0186° E
MADARIHAT,MDT,26.6800° N,89.2681° E
MADAVNAGAR ROAD,MDRR,23.7872° N,80.3944° E
MADDIKERA,MKR,15.2488° N,77.4167° E
MADDUR,MAD,12.5867° N,77.0453° E
MADDURU,MADU,12.5867° N,77.0453° E
MADGAON,MAO,15.2832° N,73.9862° E
MADHA,MA,18.0340° N,75.5161° E
MADHABPUR,MDBP,22.7339° N,88.2376° E
MADHADA,MDHA,21.5980° N,71.8994° E
MADHAPUR ROAD,MADP,null,null
MADHAVNAGAR,MDVR,16.8922° N,74.5881° E
MADHI,MID,22.1000° N,69.1000° E
MADHIRA,MDR,16.9236° N,80.3686° E
MADHOGANJ,MAH,27.1147° N,80.1484° E
MADHOPUR PUNJAB,MDPB,32.3653° N,75.5973° E
MADHOSINGH,MBS,32.3056° N,75.6543° E
MADHU SUDANPUR,MDSE,23.0103° N,88.4046° E
MADHUBANI,MBI,26.3483° N,86.0712° E
MADHUKUNDA,MDKD,23.6279° N,86.8703° E
MADHUPUR JN,MDP,null,null
MADHURANAGAR,MDUN,17.4388° N,78.4345° E
MADHYAMGRAM,MMG,22.6924° N,88.4653° E
MADHYAMPUR,MPN,22.6924° N,88.4653° E
MADIMANGALAM,MCL,10.7733° N,79.4169° E
MADLAUDA,MLDE,29.4033° N,76.8014° E
MADPUR,MPD,22.3810° N,87.4401° E
MADUKARAI,MDKI,10.9101° N,76.9588° E
MADURAI EAST,MES,9.9091° N,78.1346° E
MADURAI JN,MDU,9.9414° N,78.1254° E
MADURANTAKAM,MMK,12.5089° N,79.8847° E
MADURE,MADR,9.9252° N,78.1198° E
MADWARANI,MWRN,22.1717° N,82.7138° E
MAGARDAHA,MWF,24.5576° N,83.2560° E
MAGARDOH,MGRD,null,null
MAGARWARA,MGW,26.5097° N,80.4361° E
MAGHAR,MHH,26.7557° N,83.1277° E
MAGNAD,MGND,22.0378° N,72.8456° E
MAGRA,MUG,22.9870° N,88.3773° E
MAGRA HAT,MGT,22.2420° N,88.3784° E
MAGUDANCHAVADI,DC,11.5494° N,77.9881° E
MAHABUANG,MCZ,22.7222° N,84.9531° E
MAHABUBNAGAR TO,MHBT,16.7488° N,78.0034° E
MAHADANAPURAM,MMH,10.9508° N,78.3003° E
MAHADEOKHEDI,MDVK,24.2365° N,78.1948° E
MAHADEVA BUZRUG,MHBG,null,null
MAHADEVPARA,MHDP,21.4110° N,72.1387° E
MAHADEVSAL,MXW,22.5122° N,85.3456° E
MAHAJAN,MHJ,28.7897° N,73.8448° E
MAHALAM,MFM,31.0064° N,74.6957° E
MAHALI MARUP,MMV,22.7569° N,85.8803° E
