Station Names,Station Codes,Latitude,Longitude
ANANTNAG,ANT,33.7311° N,75.1487° E
ANAPARTI,APT,16.9347° N,81.9551° E
ANARA,ANR,23.4882° N,86.5609° E
ANAS,ANAS,22.8656° N,74.4215° E
ANAVARDIKHANPET,AVN,13.0508° N,79.5673° E
ANAWAL,ANW,20.8393° N,73.2643° E
ANCHELI,ACL,20.8447° N,72.9453° E
ANDAL JN,UDL,null,null
ANDAMPALIAM,AND,null,null
ANDANAPPETTAI,APE,null,null
ANDHERI,ADH,19.1136° N,72.8697° E
ANDIPATTI,ADPT,10.0015° N,77.6164° E
ANDUL,ADL,22.5943° N,88.2438° E
ANEKAL ROAD,AEK,null,null
ANGADI,AGCI,9.3995° N,76.7740° E
ANGADIPPURAM,AAM,10.9773° N,76.2014° E
ANGAI,AGE,26.6035° N,77.4716° E
ANGALAKUDURU,AKU,16.2393° N,80.6119° E
ANGAMALI,AFK,10.1926° N,76.3869° E
ANGAR,AAG,17.8988° N,75.5772° E
ANGAR GHAT,ARG,25.7976° N,85.9023° E
ANGUL,ANGL,20.8444° N,85.1511° E
ANIPUR,APU,24.6637° N,93.9063° E
ANJANGAON,ANJ,21.1671° N,77.3152° E
ANJANI,ANO,20.1726° N,76.6478° E
ANJAR,AJE,23.1167° N,70.0281° E
ANJHI SHAHABAD,AJI,27.6447° N,79.9741° E
ANK MMR DIRECT,ANKX,null,null
ANKAI,ANK,20.1845° N,74.4548° E
ANKAI KILA,AAK,20.1879° N,74.4431° E
ANKLAV,ALV,22.3775° N,72.9992° E
ANKLESHWAR JN,AKV,null,null
ANKOLA,ANKL,14.6653° N,74.3001° E
ANKORAH AKORHA,ANH,null,null
ANKSAPUR,AKSP,18.8132° N,78.3913° E
ANKUSPUR,AKS,25.5710° N,83.4941° E
ANNA NAGAR,ANNG,13.0850° N,80.2101° E
ANNAVARAM,ANV,17.2789° N,82.4013° E
ANNECHAKANAHALI,ANC,12.7408° N,76.2780° E
ANNIGERI,NGR,15.4273° N,75.4316° E
ANPARA,ANPR,24.2049° N,82.7832° E
ANTAH,ATH,25.1579° N,76.3116° E
ANTRI,ARI,26.0602° N,78.2099° E
ANTROLI,ANL,21.1850° N,72.9282° E
ANTU,ANTU,26.0565° N,81.9044° E
ANUGRAHA N ROAD,AUBR,null,null
ANUPALEM,ANPM,16.4684° N,79.9626° E
ANUPGANJ,APG,22.4296° N,87.6760° E
ANUPGARH,APH,29.1812° N,73.1999° E
ANUPPAMBATTU,APB,13.3042° N,80.2309° E
ANUPPUR JN,APR,23.1178° N,81.6965° E
ANUPSHAHR,AUS,28.3541° N,78.2675° E
AONLA,AO,28.2699° N,79.1605° E
APPIKATLA,APL,15.9729° N,80.5091° E
APTA,APTA,18.8516° N,73.1305° E
ARA JN,ARA,25.5488° N,84.6614° E
ARAG,ARAG,16.7858° N,74.8010° E
ARAKKONAM JN,AJJ,13.0824° N,79.6685° E
ARAKKU,ARK,18.3273° N,82.8775° E
ARALAGUPPE,ARGP,13.2516° N,76.6146° E
ARALVAYMOZHI,AAY,8.2509° N,77.5227° E
