Train Number,Train Name
12341,AGNIBINA EXPRES
71907,IDH BKI DMU
12548,ADI AGC SF EXP
55338,AH KSJ PASS
22646,AHILYANAGARI EX
22645,AHILYANAGARI EX
11096,AHIMSA EXPRESS
11095,AHIMSA EXPRESS
16502,AHMADABAD EXP
59439,AHMADABAD PASS
59440,AHMADABAD PASS
11050,AHMEDABAD EXP
59441,AHMEDABAD PASS
59442,AHMEDABAD PASS
12196,AII AF INTERCITY
22996,AII BDTS SF EXP
13424,AII BGP EXP
12983,AII CDG G RATH
12990,AII DDR  EXPRESS
18208,AII DURG EXP
19609,UDZ HW EXP
17019,JP HYB EXPRESS
12719,JP HYB SF EXP
12066,AII JAN SHATABDI
12413,AII JAT EXPRESS
19608,MDJN KOAA EXP
59602,AII MJ PASS
16209,AII MYS EXPRESS
59607,AII PUHT PASS
18422,AII PURI EXP
12988,AII SDAH EXPRES
59603,AII UDZ PASS
19607,AII WKLY EXP
51861,AIT KNH PASS
51863,AIT KNH PASS
51865,AIT KNH PASS
51867,AIT KNH PASS
51869,AIT KNH PASS
17064,AJANTA EXPRESS
17063,AJANTA EXPRESS
43842,AJJ AVD LOCAL
43844,AJJ AVD FAST LOCAL
56003,AJJ CGL PASS
56005,AJJ CGL PASS
56011,AJJ HX PASS
16085,AJJ JTJ  EXP
56007,AJJ KPD PASS
43408,AJJ MAS FAST
43410,AJJ MAS FAST
43402,AJJ MAS LOCAL
43404,AJJ MAS LOCAL
43406,AJJ MAS LOCAL
43412,AJJ MAS LOCAL
43414,AJJ MAS LOCAL
66008,AJJ MAS LOCAL
43418,AJJ MAS LOCAL
43420,AJJ MAS LOCAL
43422,AJJ MAS LOCAL
43424,AJJ MAS LOCAL
43426,AJJ MAS LOCAL
43428,AJJ MAS LOCAL
43430,AJJ MAS LOCAL
66010,AJJ MAS LOCAL
43434,AJJ MAS LOCAL
43436,AJJ MAS LOCAL
43438,AJJ MAS LOCAL
56002,AJJ MAS PASS
66016,AJJ MSB FAST
43806,AJJ MSB FAST
43802,AJJ MSB LOCAL
56261,AJJ JTJ PASS
43551,AJJ TRT LOCAL
43553,AJJ TRT LOCAL
43932,AJJ VLCY LOCAL
56009,AJJ VLR PASS
56013,AJJ VLR PASS
79482,AJM VJF RAILBUS M G
79484,AJM VJF RAILBUS M G
19613,AJMER ASR EXP
19611,AJMER ASR EXP
12989,AJMER EXPRESS
16210,AJMER EXPRESS
19411,AJMER INTERCITY
12015,AJMER SHTBDI
12016,AJMER SHTBDI
12120,AJNI AMI EXP
57135,AJNI KZJ PASS
11202,AJNI LTT EXPRESS
17640,AK KCG EXP
52974,SWD  MHOW  PASS
52976,SWD MHOW PASS
57583,AK PAU PAS
57539,AK PRLI PASS
12318,AKAL TAKHAT EXP
12317,AKAL TAKHT EXP
57581,AK PAU PASS
59167,AKV RAJ PASS
14312,ALA HAZRAT EXP
14311,ALA HAZRAT EXP
54104,ALD CAR PASS
53346,ALD CPU PASS
12276,NDLS ALD HUMSAFAR
12293,ALD DURONTO EXP
51190,ACOI ET PASS
22442,ALD INTERCITY
12403,ALD JP EXPRESS
12294,ALD LTT DURONTO
54351,ALJN BE PASS
54353,ALJN BE PASS
14113,ALJN DDN LINK
64101,ALJN DLI EMU
64103,ALJN DLI EMU
64151,ALJN DLI EMU
54391,ALJN GJL PASS
64105,ALJN NDLS EMU
64168,ALJN PWL EMU
64154,ALJN TDL MEMU
22639,ALLEPPEY EXP
16308,ALLEPPEY EXP
56302,ALLP ERS PASS
56384,ALLP ERS PASS
56377,ALLP KYJ PASS
18190,ALLP LINK EXP
56301,ALLP QLN PASS
75106,ALY MAU DMU
55126,ALY MUV PASS
55128,ALY MUV PASS
55130,ALY MUV PASS
52145,AMAN MAE SHUTTLE
52147,AMAN MAE SHUTTLE
52149,AMAN MAE SHUTTLE
52151,AMAN MAE SHUTTLE
52153,AMAN MAE SHUTTLE
52155,AMAN MAE SHUTTLE
52157,AMAN MAE SHUTTLE
12587,AMAR NATH EXP
17225,AMARAVATHI EXP
18047,AMARAVATHI EXP
17226,AMARAVATI EXP
12854,AMARKANTAK EXP
12853,AMARKANTAK EXP
15097,AMARNATH EXP
15098,AMARNATH EXP
15653,AMARNATH EXPRESS
37362,AMBG HWH LOCAL
37368,AMBG HWH LOCAL
37364,AMBG HWH LOCAL
37372,GOGT HWH LOCAL
37374,GOGT HWH LOCAL
